sentiment,text
positive,"thanks about the ponytail i dreamt last night that i shaved my head i guess it s a bigger deal than i thought"
neutral,"yes i really do"
positive,"imma talk to ya later ishi goodnight kid"
positive,"moms everywhere stop what you are doing and get a good night sleep for tomorrow its your childrens turn to pamper you enjoy your day"
neutral,"i no i wanna move to america"
negative,"yeah age of aquarius is a pretty scary song"
positive,"can t wait to go to bed"
negative,"i miss you guys"
positive,"how is aussie im hopin to be there in sydney in less than a week just got my visa on thursday whoot whoot"
neutral,"ofchas good mornin sunshine at least the work puter will go faster"
neutral,"they follow me"
neutral,"so i m waiting in front of the dps so julian can take his driving test"
negative,"cancelling my javaone ff im nzth"
positive,"thanks steph must keep me updated when it s ur turn"
positive,"i second that i wish it rained more where i am"
neutral,"tomorrow afternoon well later today actually is a shoot with seattle sinner newspaper and femme fatale seattle photographers"
negative,"i hate having to put my toddler in a disposable but her rash needs ointment i hate her having a rash even worse"
neutral,"off to work"
neutral,"should be coming out of hospital today"
neutral,"i will take some i am tiny"
neutral,"i m so worried about my sister s guinea pig i hope stalin makes it through tonight you can do it baby"
positive,"it was a lovely attempt at poetry"
neutral,"i m comin wit u"
neutral,"quaver sandwiches and tea"
positive,"starbucks i m lovin it"
positive,"nightlife commando is like chanting the music is cool now i m listening to inxs the music in this song is amazing the bass is win"
neutral,"gosh who s doing this so bad baylee is a blessed child these people don t know what to do kisses"
negative,"oh here goes my head again i m spinning around"
neutral,"met the shortest line ever at fcb tunapuna then the tellers disappeared"
neutral,"home now lol but leaving again on monday for flo rida"
positive,"gary just tried the ommegang chocolate indulgence no chocolate no indulgence just metallic best i can ff im orv"
positive,"installed the inav iblue v theme gives a fresh feel twitpic com jfg"
positive,"name the rest let s see mystery jets are pretty cool ida maria and you shud rly listen to say anything"
neutral,"lol i hear you i think i watched about different movies when i should have been getting work done i ll ttyl girl"
positive,"susan egan i love her and yeah it said i would have a pleasant trip"
neutral,"today is going to be a long day"
neutral,"i know but considering i ve bought a lot of new yarn recently i think it s necessary this time"
negative,"visit la ventana de los cielos foundation was pushed bck weeks was so excited go meet the kids i ll have wait another wks"
neutral,"what about sauce huh i m going to california tomorrow morning"
negative,"i think my modem failed having pc withdrawals"
neutral,"last day of volleyball miss everyone already oh well banquet on th hopefully everyones gonna be there"
negative,"still trying to get better had to get mommaz lovin headed to her house ahhhhhh i so hate this feelin"
negative,"i somehow miss you"
neutral,"wants to set up a coffee shop but he has no money to do it"
positive,"this is the best e commerce site i hope you ve watched the big bang theory www pennyblossoms com please hit buy now"
neutral,"she s not coming to detroit only grand rapids in october"
negative,"i never liked that boy jerms"
neutral,"add me up and lets play something"
positive,"i love to read ur little quotes"
negative,"my puppies killed my cat lastnight they thought she was a stuffed animal rip meanie yfrog com mwj"
negative,"always tired always cold and always have a headache cant wait for vacashun and the frickin g update i want onscreen keyboard dammit"
negative,"in class sick and hungry"
positive,"i know its a block party but would love to hear a dh original if you get a chance"
neutral,"bought a new combo printer at costco today officejet j cause it was cheaper than ink old one doesn t like the fax part"
positive,"might be a while before i get around to it not sure if i will make it flat out in html or through wordpress fun fun fun"
negative,"lights aw what s wrong"
positive,"thank s see now i m back on smiling"
negative,"a couple of years i may die without my kateage keeps fingers crossed for you tho"
neutral,"i need hugs from joe jonas"
neutral,"ahseya cool i want you to take a look at this and tell me what you think"
neutral,"at the park its raining"
positive,"what to do what to do need to do my show reel nxt week then start applying for editing jobs rock climbing tomos i hope"
neutral,"my blackberry s got a fatty battery guess we re kinda in the same boat huh"
neutral,"experimenting with puppet again i think i just wiped my drive on my workstation"
neutral,"i didn t find my dress"
neutral,"i am filming musicans friends of mine at a legion these people sure know how to dance"
negative,"have to stay away from home and since this part of india dnt hav gud wireless internet im"
neutral,"back from the gym and sorting through my inboxes"
negative,"listening to ryan adams and being sick"
negative,"hates goodbyes"
negative,"the first time all week i can play wow and i get stuck at authenticating"
neutral,"it will warm up once you start digging"
neutral,"i wish i had more chicken wings"
positive,"oh yes happy nine year annivarsary to hanson s second studio album this time around"
neutral,"foto"
neutral,"don t have time to chat sorry girls miss y all but we have a new lawnmower yeah that was today s highlight tomorrow is"
positive,"cool i m glad i will save some tea for you"
neutral,"i ran over a turtle"
neutral,"playing sudoku while mommy makes me breakfast lunch"
negative,"apparently it s starwars day today i like this shame i have revision though"
